id,name,,parent_id,icon,created_at,updated_at
1,Architecture,architecture,,,2026-05-15 08:15:35,2026-05-15 08:15:35
2,Architectural Restoration,architectural-restoration,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
3,Architecture History,architecture-history,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
4,Construction,construction,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
5,Dynamics,dynamics,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
6,History,history,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
7,Housing,housing,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
8,Infrastructure,infrastructure,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
9,Physics,physics,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
10,Railway Engineering,railway-engineering,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
11,Religion,religion,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
12,Steel,steel,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
13,Transportation,transportation,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
14,Vernacular Architecture,vernacular-architecture,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
15,World History,world-history,1,,2026-05-15 08:15:35,2026-05-15 08:15:35
16,Art,art,,,2026-05-15 08:15:35,2026-05-15 08:15:35
17,Animation,animation,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
18,Architectural Restoration,architectural-restoration,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
19,Architecture,architecture,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
20,Art History,art-history,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
21,Blender,blender,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
22,Cartography,cartography,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
23,Cgi Animation,cgi-animation,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
24,Counseling,counseling,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
25,Creativity,creativity,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
26,Culture,culture,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
27,Design,design,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
28,Digital Content Creation,digital-content-creation,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
29,Drawing,drawing,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
30,Film,film,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
31,Fun,fun,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
32,Humanities,humanities,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
33,Memes,memes,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
34,Music Arts,music-arts,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
35,Music Theory,music-theory,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
36,Mythology,mythology,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
37,Popular Culture,popular-culture,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
38,Procedural Modeling,procedural-modeling,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
39,Screenplays,screenplays,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
40,Shakespeare,shakespeare,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
41,Vernacular Architecture,vernacular-architecture,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
42,Video Editing,video-editing,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
43,Video Game Writing,video-game-writing,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
44,Videography,videography,16,,2026-05-15 08:15:35,2026-05-15 08:15:35
45,Biology,biology,,,2026-05-15 08:15:35,2026-05-15 08:15:35
46,Animal Behavior,animal-behavior,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
47,Animal Breeding,animal-breeding,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
48,Biochemistry,biochemistry,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
49,Bioelectricity,bioelectricity,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
50,Bioinformatics,bioinformatics,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
51,Biomaterials,biomaterials,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
52,Biomedical Imaging,biomedical-imaging,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
53,Biomedical Sciences,biomedical-sciences,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
54,Biostatistics,biostatistics,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
55,Biotechnology,biotechnology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
56,Cellular Biology,cellular-biology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
57,Diabetes,diabetes,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
58,Dinosaurs,dinosaurs,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
59,Disease,disease,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
60,Dna,dna,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
61,Dog Behavior,dog-behavior,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
62,Drugs,drugs,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
63,Evolution,evolution,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
64,Genetics,genetics,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
65,Health Wellness,health-wellness,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
66,Human Anatomy,human-anatomy,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
67,Human Biology,human-biology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
68,Human Brain,human-brain,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
69,Immunology,immunology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
70,Life Sciences,life-sciences,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
71,Medicine,medicine,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
72,Microbiology,microbiology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
73,Microscopy,microscopy,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
74,Molecular Biology,molecular-biology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
75,Natural Sciences,natural-sciences,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
76,Nervous System,nervous-system,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
77,Neuroscience,neuroscience,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
78,Nutrition,nutrition,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
79,Pathophysiology,pathophysiology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
80,Physical Chemistry,physical-chemistry,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
81,Physiology,physiology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
82,Salmon,salmon,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
83,Stem,stem,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
84,Synthetic Biology,synthetic-biology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
85,Viruses,viruses,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
86,Business Administration,business-administration,,,2026-05-15 08:15:35,2026-05-15 08:15:35
87,Accounting,accounting,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
88,Agile,agile,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
