id,name,slug,logo_url,website_url,description,is_verified,created_at,updated_at
1,Adelaide University,adelaide-university,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Ff5d1ff66-002f-43fa-9d76-1b191d4a3272-80ec5bc112a7.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
2,AfghanX,afghanx,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F0e2e7ed5-6555-4212-8c31-5a114e690b64-11a283c52a8e.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
3,African Development Bank,african-development-bank,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Fbanner_images%2F12068785-2a0b-40ec-a791-b8ede840a41b-de68ce8d37b3.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
4,Amazon Web Services,amazon-web-services,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F31705519-3082-4c18-aa23-1caf9a038b1c-21ab36bd68bc.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
5,American Psychological Association,american-psychological-association,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Fbc4364a6-3fb5-456e-b2f5-fc6efdeff815-851530f4f112.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
6,Aptly,aptly,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Fbdc5d671-6044-494c-8bc6-933a9026e0d8-94cb0361f44b.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
7,Arizona State University,arizona-state-university,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F766a3716-f962-425b-b56e-e214c019b229-1fd2c1d49461.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
8,Arm Education,arm-education,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F5f1b3a31-014f-44e0-ade4-829a9d4b8334-00d7ebd79ee5.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
9,Association of Chartered Certified Accountants,association-of-chartered-certified-accountants,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F5f1ba1eb-92e8-4603-a2eb-f259d182b806-da5851943627.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
10,Australian National University,australian-national-university,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F1e6df8ed-a3fe-4307-99b9-775af509fcba-c733cde41f39.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
11,Babson College,babson-college,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F5e657c42-b466-4101-883a-7f2830ff3d54-1cc106481e49.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
12,Barbara Oakley & Olav Schewe,barbara-oakley-and-olav-schewe,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F90892729-e05a-40d3-8a6d-111bf35d0a54-3188b16a253e.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
13,Berklee College of Music,berklee-college-of-music,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F267a63a9-5bc3-4b49-8bc0-f31b39b45f53-9778ab6db7ca.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
14,BoxPlay,boxplay,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F165092b7-5a47-41bd-8109-58e2f088c44f-50f67697a302.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
15,Brown University,brown-university,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Fedcea365-f4e2-4790-ab58-b05011ff147f-e5740103bc15.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
16,Caltech,caltech,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F01424b8a-06bf-4410-ac4f-2f1016b105be-e40ca6bcc9d7.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
17,Catalyst,catalyst,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F7a2e476c-f802-49ba-9dbd-d44e5658277c-914467970e00.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
18,CFI Education,cfi-education,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Fed9a5751-d84c-4695-9821-9fe7711a5778-13d753f10800.png&w=640&q=75,,,0,2026-05-15 08:55:13,2026-05-15 08:55:13
