id,institution_id,category_id,title,slug,type,description,price,thumbnail_url,is_published,created_at,updated_at
1,47,1,Google Cloud Computing Foundations,google-cloud-computing-foundations,professional_certificate,4 courses - 4 weeks to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/1fcffef0-468a-483f-95aa-87e2d4d2c408-fc006d5bbc06.png",1,2026-05-15 09:00:00,2026-05-15 09:00:00
2,55,1,IBM Data Science,ibm-data-science,professional_certificate,10 courses - 13 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/b5598690-9bd8-4d21-b7f3-dc741b50473f-174928e730c7.jpeg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
3,11,1,Financial Decision-Making for Leaders,financial-decisionmaking-for-leaders,professional_certificate,4 courses - 4 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/be5cc755-fa82-49f0-a7f5-512ca60cd7f0-4f0a188f8f8e.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
4,104,1,Communication Skills,communication-skills,professional_certificate,3 courses - 3 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/ae83795f-5496-4fc2-ac22-c62810efefe2-99faed2ec3ec.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
5,51,1,Computer Science for Web Programming,computer-science-for-web-programming,professional_certificate,2 courses - 6 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/90f4789c-2549-4670-ade7-12cc8b590f5c-06374e02670f.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
6,119,1,Lean Six Sigma Yellow Belt: Quantitative Tools for Quality and Productivity,lean-six-sigma-yellow-belt-quantitative-tools-for-quality-and-productivity,professional_certificate,3 courses - 6 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/58702c6e-4650-4167-8916-5462032a6a98-1b195a139629.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
7,125,1,Introduction to Python Programming,introduction-to-python-programming,professional_certificate,4 courses - 5 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/a11c408f-0986-4393-8268-8bc16500cdf3-db87df485d12.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
8,160,1,Excel for Everyone,excel-for-everyone,professional_certificate,3 courses - 5 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/a9bdcab5-c199-478d-9220-a74cc2f077c6-2e34065bb917.png",1,2026-05-15 09:00:00,2026-05-15 09:00:00
9,1,1,Remotely Humorous: Build Joyful and Resilient Virtual Teams with Humor,remotely-humorous-build-joyful-and-resilient-virtual-teams-with-humor,professional_certificate,3 courses - 6 weeks to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/dec00859-a72d-4f0f-b80a-5ec16bde10b5-e19b4c99a55f.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
10,136,1,Agile Project Management,agile-project-management,professional_certificate,5 courses - 5 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/87ef0a37-88f5-4843-888c-166fc9d1644a-10e6454c9d5c.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
11,11,1,Entrepreneurial Mindset and Leadership,entrepreneurial-mindset-and-leadership,professional_certificate,4 courses - 5 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/51460aef-0efa-4a0d-ad00-9503a163e479-3b272e9b0bf9.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
12,60,1,Business Management,business-management,micromasters,6 courses - 11 months to complete,0,"https://prod-discovery.edx-cdn.org/cdn-cgi/image/width=auto,height=auto,quality=75,format=webp/media/programs/card_images/59488f04-79a1-442d-9485-ca84562d6e12-e81f2e8f66e5.jpg",1,2026-05-15 09:00:00,2026-05-15 09:00:00
