course_id,subject,order_index
1,Learn Software Engineering,1
1,Learn Blockchain,2
1,Learn Computer Programming,3
1,Learn Architecture,4
1,Learn Project Management,5
1,Learn Business Administration,6
1,Become a Cybersecurity Analyst,7
1,Become a Data Scientist,8
1,Become a Social Media Manager,9
1,Become a Software Developer,10
1,Become a Software Engineer,11
1,Bachelor's in Business,12
1,Bachelor's in Computer Science / Data Science,13
1,Bachelor's in Health and Nursing,14
1,Bachelor's in Accounting,15
2,"A theoretical background of contracts, trust, and promise",1
2,How to form contracts through valid offer and acceptance,2
2,Limits to enforcing contracts,3
2,Issues excusing contractual performance,4
2,Available remedies for contractual breaches,5
2,Third parties' ability to enforce contracts,6
2,The limitations of contract law,7
2,How courts interpret contracts,8
2,"Relationship of Contracts to Agency, Partnership, Corporations and Regulation",9
2,How to read through contracts to apply these key concepts and understand potential issues and outcomes,10
3,CREATE TABLE,1
3,CREATE INDEX,2
3,CREATE VIEW,3
3,"SQLite, PostgreSQL, MySQL",4
3,"connectors (Python, Java)",5
3,replication,6
4,The fundamentals of political philosophy,1
4,"An understanding of social justice and criminal justice, and the roles they play in the modern justice system",2
4,"A deeper sense of the philosophy that underlies modern issues such as affirmative action, same sex marriage, and equality",3
4,The ability to better articulate and evaluate philosophical arguments and ask philosophical questions,4
5,Explore diverse definitions of happiness and understand its function in everyday life,1
5,"Learn how genetic, social, and economic influences impact your happiness",2
5,"Apply the science of the mind, body, psychology, and community to manage emotions and behaviors for greater happiness",3
5,Develop a happiness portfolio focused on your deepest goals and desires,4
5,Recognize how success and achievement impact short versus long-term happiness,5
5,Write your ending — build happiness strategies for your work and life at any age or stage,6
6,How to identify and unbundle complex challenges,1
6,How to understand the role of formal and informal authority,2
6,How to identify the key perspectives of stakeholders,3
6,How to build and renew trust relationships,4
6,How to approach conflict,5
6,How to implement personal strategies for surviving and thriving amidst change,6
7,Gain hands-on experience and practice using Python to solve real data science challenges,1
7,"Practice Python programming and coding for modeling, statistics, and storytelling",2
7,"Utilize popular libraries such as Pandas, numPy, matplotlib, and SKLearn",3
7,"Run basic machine learning models using Python, evaluate how those models are performing, and apply those models to real-world problems",4
7,"Build a foundation for the use of Python in machine learning and artificial intelligence, preparing you for future Python study",5
9,What happiness really means and why it matters to you,1
9,How to increase your own happiness and foster happiness in others,2
9,"Why social connections, kindness, and community are key to happiness",3
9,Which mental habits are most conducive to happiness and how mindfulness can help,4
10,Basic R syntax,1
10,"Foundational R programming concepts such as data types, vectors arithmetic, and indexing",2
10,"How to perform operations in R including sorting, data wrangling using dplyr, and making plots",3
11,Fundamentals of bioelectricity,1
11,The importance of resting potential,2
11,The properties of passive membranes,3
11,"Action potentials, their currents, and their role in the nervous system",4
11,How you can do neuroscience in your home,5
12,Gain perspective on how scientifically-proven skills can improve your resilience and mental health,1
12,Build a toolkit of five core skills to help you manage emotional stress and apply them to different situations,2
12,Improve your ability to face fears and anxieties by preparing your own plan for handling stressful scenarios,3
13,"HTML, CSS",1
13,"SQL, Models, and Migrations",2
13,JavaScript,3
13,User Interfaces,4
13,"Testing, CI/CD",5
13,Scalability and Security,6
15,"hacking, cracking",1
15,"social engineering, phishing attacks",2
15,"passcodes, passwords, SSO",3
15,"brute-force attacks, dictionary attacks",4
15,biometrics,5
15,"multi-factor authentication, password managers",6
15,ethical hacking,7
15,(distributed) denial-of-service attacks,8
15,"viruses, worms, botnets",9
15,SQL injection attacks,10
15,port-scanning,11
15,"proxies, firewalls",12
15,automatic updates,13
15,"closed-source, open-source software",14
15,buffer-overflow attacks,15
17,Learn about the IELTS test procedure and format,1
17,Learn useful test-taking strategies and skills for the IELTS Academic tests,2
17,"Develop your English reading, writing, listening and speaking skills",3
18,graph search algorithms,1
18,adversarial search,2
18,knowledge representation,3
18,logical inference,4
18,probability theory,5
18,Bayesian networks,6
18,Markov models,7
18,constraint satisfaction,8
18,machine learning,9
18,reinforcement learning,10
18,neural networks,11
18,natural language processing,12
21,"Functions, Variables",1
21,Conditionals,2
21,Exceptions,3
21,Libraries,4
21,Unit Tests,5
21,Regular Expressions,6
21,Object-Oriented Programming,7
21,Et Cetera,8
