course_id,title,org,course_url,start,end,pacing,language,effort,short_desc,overview,total_bab,total_sub_bab,total_unit,total_video,total_problem,total_html,curriculum_json,syllabus_fallback
ccx-v1:adam+Mac_APccx+e0d+ccx@3,ntest,adam,https://www.edx.org/course/ccx-v1:adam+Mac_APccx+e0d+ccx@3,2016-06-27T14:10:44Z,,instructor,,2:00,,"About This Course The DavidsonNext AP Macroeconomics modules cover the 14 challenging concepts in AP Macroeconomics. Each module can be used on its own and the modules do not need to be completed in order. Students and instructors are encouraged to use the modules in different ways – either as part of classroom instruction or as a supplementary/review material. Prerequisites Those prerequisites governed by the respective high school of students enrolled in an AP Macroeconomics course. Course Staff Sally Meek AP Economics Teacher (Plano, TX) Michael Brody AP Economics Teacher (San Francisco, CA",0,0,0,0,0,0,[],
ccx-v1:adam+Mac_APccx+e0d+ccx@4,ntest,adam,https://www.edx.org/course/ccx-v1:adam+Mac_APccx+e0d+ccx@4,2016-06-27T14:10:48Z,,instructor,,2:00,,"About This Course The DavidsonNext AP Macroeconomics modules cover the 14 challenging concepts in AP Macroeconomics. Each module can be used on its own and the modules do not need to be completed in order. Students and instructors are encouraged to use the modules in different ways – either as part of classroom instruction or as a supplementary/review material. Prerequisites Those prerequisites governed by the respective high school of students enrolled in an AP Macroeconomics course. Course Staff Sally Meek AP Economics Teacher (Plano, TX) Michael Brody AP Economics Teacher (San Francisco, CA",0,0,0,0,0,0,[],
ccx-v1:BerkeleyX+CS169.1x+3T2015SP+ccx@11,Grinnell CSC321 2016F,BerkeleyX,https://www.edx.org/course/ccx-v1:BerkeleyX+CS169.1x+3T2015SP+ccx@11,2016-06-07T20:00:00Z,,instructor,,12 hours/week,CS169.1x teaches the fundamentals for engineering long-lived software using Agile techniques to develop Software as a Service (SaaS) using Ruby on Rails.,"About This Course This is the SPOC (Small Private Online Course) for the first 6 weeks of UC Berkeley CS 169 Software Engineering. Enrollment is limited to UC Berkeley students registered for CS 169. If you are one of these students, enrollment should be automatic as long as your edX email matches the one in BearFacts. (If it doesn't, login to your edx.org account and change it, since we populate this course based on BearFacts list.) If you're having trouble/still not enrolled, contact the CS169 course staff. Prerequisites CS61A, CS61B Course Staff Staff Member #1 Biography of instructor/staff",0,0,0,0,0,0,[],
ccx-v1:BerkeleyX+CS169.1x+3T2015SP+ccx@5,Test,BerkeleyX,https://www.edx.org/course/ccx-v1:BerkeleyX+CS169.1x+3T2015SP+ccx@5,2016-05-24T20:00:00Z,,instructor,,12 hours/week,CS169.1x teaches the fundamentals for engineering long-lived software using Agile techniques to develop Software as a Service (SaaS) using Ruby on Rails.,"About This Course This is the SPOC (Small Private Online Course) for the first 6 weeks of UC Berkeley CS 169 Software Engineering. Enrollment is limited to UC Berkeley students registered for CS 169. If you are one of these students, enrollment should be automatic as long as your edX email matches the one in BearFacts. (If it doesn't, login to your edx.org account and change it, since we populate this course based on BearFacts list.) If you're having trouble/still not enrolled, contact the CS169 course staff. Prerequisites CS61A, CS61B Course Staff Staff Member #1 Biography of instructor/staff",0,0,0,0,0,0,[],
ccx-v1:BUx+PY1x+3T2016+ccx@12,AHS AP Physics,BUx,https://www.edx.org/course/ccx-v1:BUx+PY1x+3T2016+ccx@12,2016-09-12T16:14:32Z,,instructor,,,,"About This Course Include your long course description here. The long course description should contain 150-400 words. This is paragraph 2 of the long course description. Add more paragraphs as needed. Make sure to enclose them in paragraph tags. Prerequisites Add information about course prerequisites here. Course Staff Staff Member #1 Biography of instructor/staff member #1 Staff Member #2 Biography of instructor/staff member #2 Frequently Asked Questions Do I need to buy a textbook? No, a free online version of Chemistry: Principles, Patterns, and Applications, First Edition by Bruce Averil",0,0,0,0,0,0,[],
ccx-v1:BUx+PY1x+3T2016+ccx@13,AHS AP Physics,BUx,https://www.edx.org/course/ccx-v1:BUx+PY1x+3T2016+ccx@13,2016-09-12T06:00:00Z,,instructor,,,,"About This Course Include your long course description here. The long course description should contain 150-400 words. This is paragraph 2 of the long course description. Add more paragraphs as needed. Make sure to enclose them in paragraph tags. Prerequisites Add information about course prerequisites here. Course Staff Staff Member #1 Biography of instructor/staff member #1 Staff Member #2 Biography of instructor/staff member #2 Frequently Asked Questions Do I need to buy a textbook? No, a free online version of Chemistry: Principles, Patterns, and Applications, First Edition by Bruce Averil",0,0,0,0,0,0,[],
ccx-v1:BUx+PY1x+3T2016+ccx@14,GIS AP Physics 1,BUx,https://www.edx.org/course/ccx-v1:BUx+PY1x+3T2016+ccx@14,2016-09-12T18:00:00Z,,instructor,,,,"About This Course Include your long course description here. The long course description should contain 150-400 words. This is paragraph 2 of the long course description. Add more paragraphs as needed. Make sure to enclose them in paragraph tags. Prerequisites Add information about course prerequisites here. Course Staff Staff Member #1 Biography of instructor/staff member #1 Staff Member #2 Biography of instructor/staff member #2 Frequently Asked Questions Do I need to buy a textbook? No, a free online version of Chemistry: Principles, Patterns, and Applications, First Edition by Bruce Averil",0,0,0,0,0,0,[],
ccx-v1:BUx+PY1x+3T2016+ccx@17,AP Physics 1,BUx,https://www.edx.org/course/ccx-v1:BUx+PY1x+3T2016+ccx@17,2016-09-12T18:00:00Z,,instructor,,,,"About This Course Include your long course description here. The long course description should contain 150-400 words. This is paragraph 2 of the long course description. Add more paragraphs as needed. Make sure to enclose them in paragraph tags. Prerequisites Add information about course prerequisites here. Course Staff Staff Member #1 Biography of instructor/staff member #1 Staff Member #2 Biography of instructor/staff member #2 Frequently Asked Questions Do I need to buy a textbook? No, a free online version of Chemistry: Principles, Patterns, and Applications, First Edition by Bruce Averil",0,0,0,0,0,0,[],
ccx-v1:BUx+PY1x+3T2016+ccx@18,Morckel AP1 Period 5,BUx,https://www.edx.org/course/ccx-v1:BUx+PY1x+3T2016+ccx@18,2016-09-12T18:00:00Z,,instructor,,,,"About This Course Include your long course description here. The long course description should contain 150-400 words. This is paragraph 2 of the long course description. Add more paragraphs as needed. Make sure to enclose them in paragraph tags. Prerequisites Add information about course prerequisites here. Course Staff Staff Member #1 Biography of instructor/staff member #1 Staff Member #2 Biography of instructor/staff member #2 Frequently Asked Questions Do I need to buy a textbook? No, a free online version of Chemistry: Principles, Patterns, and Applications, First Edition by Bruce Averil",0,0,0,0,0,0,[],
ccx-v1:BUx+PY1x+3T2016+ccx@19,Morckel AP1 Period 5,BUx,https://www.edx.org/course/ccx-v1:BUx+PY1x+3T2016+ccx@19,2016-09-12T18:00:00Z,,instructor,,,,"About This Course Include your long course description here. The long course description should contain 150-400 words. This is paragraph 2 of the long course description. Add more paragraphs as needed. Make sure to enclose them in paragraph tags. Prerequisites Add information about course prerequisites here. Course Staff Staff Member #1 Biography of instructor/staff member #1 Staff Member #2 Biography of instructor/staff member #2 Frequently Asked Questions Do I need to buy a textbook? No, a free online version of Chemistry: Principles, Patterns, and Applications, First Edition by Bruce Averil",0,0,0,0,0,0,[],
